weekOf,park,dow,hours,cost,revenue,pct
10/6/25,Appleton,Mon,27.34,,"$2,327.48 ",
10/6/25,Austell,Mon,42.87,,"$1,162.46 ",
10/6/25,Gastonia,Mon,24.83,,"$1,673.39 ",
10/6/25,Huntsville,Mon,44.79,,"$4,046.63 ",
10/6/25,Lawrenceville,Mon,48.61,,"$2,573.82 ",
10/6/25,Lombard,Mon,32.6,,"$1,453.62 ",
10/6/25,Nashville,Mon,50.52,,"$5,652.74 ",
10/6/25,Pueblo,Mon,28.23,,"$2,054.59 ",
10/6/25,San Jose,Mon,47.15,,"$4,258.27 ",
10/6/25,York,Mon,34.19,,"$1,357.82 ",
10/6/25,Appleton,Tue,30.84,,"$2,585.48 ",
10/6/25,Austell,Tue,31.4,,"$1,236.91 ",
10/6/25,Gastonia,Tue,24,,"$2,159.44 ",
10/6/25,Huntsville,Tue,44.7,,"$6,594.59 ",
10/6/25,Lawrenceville,Tue,53.24,,"$2,886.05 ",
10/6/25,Lombard,Tue,33.03,,"$1,623.24 ",
10/6/25,Nashville,Tue,55.7,,"$12,084.27 ",
10/6/25,Pueblo,Tue,26.99,,"$2,343.86 ",
10/6/25,San Jose,Tue,47.57,,"$5,169.60 ",
10/6/25,York,Tue,34.3,,$854.22 ,
10/6/25,Appleton,Wed,30.83,,"$3,394.62 ",
10/6/25,Austell,Wed,32.57,,"$1,411.30 ",
10/6/25,Gastonia,Wed,27.08,,"$2,501.46 ",
10/6/25,Huntsville,Wed,41.91,,"$5,401.60 ",
10/6/25,Lawrenceville,Wed,47.95,,"$4,242.29 ",
10/6/25,Lombard,Wed,33.91,,"$1,197.37 ",
10/6/25,Nashville,Wed,61.85,,"$6,805.67 ",
10/6/25,Pueblo,Wed,32.55,,"$1,938.12 ",
10/6/25,San Jose,Wed,46.52,,"$4,787.81 ",
10/6/25,York,Wed,34.05,,"$1,246.62 ",
10/6/25,Appleton,Thu,26.41,,"$2,296.25 ",
10/6/25,Austell,Thu,45.97,,"$9,331.51 ",
10/6/25,Gastonia,Thu,28.91,,"$2,612.61 ",
10/6/25,Huntsville,Thu,54.7,,"$5,677.50 ",
10/6/25,Lawrenceville,Thu,85.58,,"$9,964.80 ",
10/6/25,Lombard,Thu,32.27,,"$1,098.70 ",
10/6/25,Nashville,Thu,57.4,,"$5,857.56 ",
10/6/25,Pueblo,Thu,34.9,,"$1,887.09 ",
10/6/25,San Jose,Thu,41.31,,"$4,791.55 ",
10/6/25,York,Thu,28.25,,"$1,530.09 ",
10/6/25,Appleton,Fri,58.62,,"$5,036.05 ",
10/6/25,Austell,Fri,53.97,,"$3,400.75 ",
10/6/25,Gastonia,Fri,62.43,,"$3,246.27 ",
10/6/25,Huntsville,Fri,64.74,,"$7,550.48 ",
10/6/25,Lawrenceville,Fri,133.97,,"$14,743.22 ",
10/6/25,Lombard,Fri,47.04,,"$4,401.76 ",
10/6/25,Nashville,Fri,99.69,,"$10,046.34 ",
10/6/25,Pueblo,Fri,63.94,,"$5,823.52 ",
10/6/25,San Jose,Fri,72.22,,"$12,267.87 ",
10/6/25,York,Fri,34.8,,"$2,440.40 ",
10/6/25,Appleton,Sat,89.49,,"$10,503.87 ",
10/6/25,Austell,Sat,150.68,,"$15,490.91 ",
10/6/25,Gastonia,Sat,129.67,,"$9,721.05 ",
10/6/25,Huntsville,Sat,89.47,,"$9,143.47 ",
10/6/25,Lawrenceville,Sat,178.94,,"$19,594.65 ",
10/6/25,Lombard,Sat,79.24,,"$7,690.35 ",
10/6/25,Nashville,Sat,152.28,,"$15,224.13 ",
10/6/25,Pueblo,Sat,82.61,,"$7,854.47 ",
10/6/25,San Jose,Sat,211.28,,"$24,050.36 ",
10/6/25,York,Sat,46.12,,"$5,092.80 ",
10/6/25,Appleton,Sun,66.02,,"$8,597.96 ",
10/6/25,Austell,Sun,62.51,,"$7,107.81 ",
10/6/25,Gastonia,Sun,57.43,,"$3,831.81 ",
10/6/25,Huntsville,Sun,59.93,,"$5,684.74 ",
10/6/25,Lawrenceville,Sun,143.49,,"$14,366.91 ",
10/6/25,Lombard,Sun,70.4,,"$6,319.44 ",
10/6/25,Nashville,Sun,100.07,,"$11,007.35 ",
10/6/25,Pueblo,Sun,50.01,,"$6,681.48 ",
10/6/25,San Jose,Sun,171.04,,"$21,051.48 ",
10/6/25,York,Sun,28.91,,"$3,545.22 ",
